,Nombre,Código NIF,Localidad,Coordenada - X,Coordenada - Y,Ultimo año disponible,Ultimo número empleados,No of companies in corporate group,Código primario CNAE 2009,Literal código CNAE 2009 primario,Descripción actividad,"Ingresos de explotación
EUR
Últ. año disp.","Ingresos de explotación
EUR
2020","Ingresos de explotación
EUR
2019","Ingresos de explotación
EUR
2018","Ingresos de explotación
EUR
2017","Ingresos de explotación
EUR
2016","Ingresos de explotación
EUR
2015","Ingresos de explotación
EUR
2014","Ingresos de explotación
EUR
2013","Ingresos de explotación
EUR
2012","Ingresos de explotación
EUR
2011","Ingresos de explotación
EUR
2010","Resultado del Ejercicio
EUR
Últ. año disp.","Resultado del Ejercicio
EUR
2020","Resultado del Ejercicio
EUR
2019","Resultado del Ejercicio
EUR
2018","Resultado del Ejercicio
EUR
2017","Resultado del Ejercicio
EUR
2016","Resultado del Ejercicio
EUR
2015","Resultado del Ejercicio
EUR
2014","Resultado del Ejercicio
EUR
2013","Resultado del Ejercicio
EUR
2012","Resultado del Ejercicio
EUR
2011","Resultado del Ejercicio
EUR
2010","Rentabilidad económica (%)
%
Últ. año disp.","Rentabilidad económica (%)
%
2020","Rentabilidad económica (%)
%
2019","Rentabilidad económica (%)
%
2018","Rentabilidad económica (%)
%
2017","Rentabilidad económica (%)
%
2016","Rentabilidad económica (%)
%
2015","Rentabilidad económica (%)
%
2014","Rentabilidad económica (%)
%
2013","Rentabilidad económica (%)
%
2012","Rentabilidad económica (%)
%
2011","Rentabilidad económica (%)
%
2010","Rentabilidad financiera (%)
%
Últ. año disp.","Rentabilidad financiera (%)
%
2020","Rentabilidad financiera (%)
%
2019","Rentabilidad financiera (%)
%
2018","Rentabilidad financiera (%)
%
2017","Rentabilidad financiera (%)
%
2016","Rentabilidad financiera (%)
%
2015","Rentabilidad financiera (%)
%
2014","Rentabilidad financiera (%)
%
2013","Rentabilidad financiera (%)
%
2012","Rentabilidad financiera (%)
%
2011","Rentabilidad financiera (%)
%
2010","Liquidez general
%
Últ. año disp.","Liquidez general
%
2020","Liquidez general
%
2019","Liquidez general
%
2018","Liquidez general
%
2017","Liquidez general
%
2016","Liquidez general
%
2015","Liquidez general
%
2014","Liquidez general
%
2013","Liquidez general
%
2012","Liquidez general
%
2011","Liquidez general
%
2010","Endeudamiento (%)
%
Últ. año disp.","Endeudamiento (%)
%
2020","Endeudamiento (%)
%
2019","Endeudamiento (%)
%
2018","Endeudamiento (%)
%
2017","Endeudamiento (%)
%
2016","Endeudamiento (%)
%
2015","Endeudamiento (%)
%
2014","Endeudamiento (%)
%
2013","Endeudamiento (%)
%
2012","Endeudamiento (%)
%
2011","Endeudamiento (%)
%
2010","Número empleados
Últ. año disp.","Número empleados
2020","Número empleados
2019","Número empleados
2018","Número empleados
2017","Número empleados
2016","Número empleados
2015","Número empleados
2014","Número empleados
2013","Número empleados
2012","Número empleados
2011","Número empleados
2010","Distribución - Mujeres
Últ. año disp.","Distribución - Mujeres
2020","Distribución - Mujeres
2019","Distribución - Mujeres
2018","Distribución - Mujeres
2017","Distribución - Mujeres
2016","Distribución - Mujeres
2015","Distribución - Mujeres
2014","Distribución - Mujeres
2013","Distribución - Mujeres
2012","Distribución - Mujeres
2011","Distribución - Mujeres
2010","Distribución - Hombres
Últ. año disp.","Distribución - Hombres
2020","Distribución - Hombres
2019","Distribución - Hombres
2018","Distribución - Hombres
2017","Distribución - Hombres
2016","Distribución - Hombres
2015","Distribución - Hombres
2014","Distribución - Hombres
2013","Distribución - Hombres
2012","Distribución - Hombres
2011","Distribución - Hombres
2010"
294.,MARFINA SL,B59372755,SABADELL,2.10815785,41.52948447,30/11/2019,46,47,7022,Otras actividades de consultoría de gestión empresarial,Prestación de servicios de consultoría a empresas.,"15,888,844",n.d.,"15,888,844","14,657,560","16,977,765","4,427,021","13,219,874","13,391,384","9,828,343","8,030,206","6,804,319","7,163,855","26,181,976",n.d.,"26,181,976","24,217,588","22,827,932","20,324,597","12,925,710","7,086,115","9,523,499","3,762,404","6,921,543","709,441",7.27,n.d.,7.27,7.41,9.64,9.40,6.10,4.15,4.87,1.96,3.72,0.07,12.10,n.d.,12.10,12.21,13.29,13.97,9.90,6.82,8.42,3.42,5.88,0.13,3.41,n.d.,3.41,1.76,1.88,1.46,1.15,0.93,0.94,1.01,1.22,1.34,39.87,n.d.,39.87,39.30,27.51,32.75,38.40,39.08,42.22,42.51,36.75,41.16,56,n.d.,56,47,47,44,44,39,41,41,39,40,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,18,15,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,27,24,n.d.,n.d.,n.d.,n.d.
295.,CENTRO EUROPEO DE EVOLUCION ECONOMICA SA,A08264350,MADRID,-3.68719277,40.47559487,31/12/2017,100,11,7022,Otras actividades de consultoría de gestión empresarial,Consultoría de organización estratégicas para empresas.,"15,859,011",n.d.,n.d.,n.d.,"15,859,011","13,940,254","15,281,180","13,941,109","12,232,397","10,810,722","8,067,280","7,592,405","2,186,259",n.d.,n.d.,n.d.,"2,186,259","1,523,066","1,862,646","1,778,129","925,027","818,500","274,416","8,507",61.89,n.d.,n.d.,n.d.,61.89,53.41,59.88,62.39,43.50,43.35,28.09,4.22,124.29,n.d.,n.d.,n.d.,124.29,126.47,113.42,114.95,95.44,95.96,62.34,9.08,2.29,n.d.,n.d.,n.d.,2.29,2.03,2.48,2.38,1.94,1.98,1.61,1.59,50.20,n.d.,n.d.,n.d.,50.20,57.77,47.21,45.72,54.42,54.82,54.94,53.51,102,n.d.,n.d.,n.d.,102,83,79,78,78,76,68,70,36,n.d.,n.d.,n.d.,36,24,18,18,19,18,18,18,65,n.d.,n.d.,n.d.,65,59,62,60,59,58,52,51
296.,COMMON MANAGEMENT SOLUTIONS SL,B84563212,LAS ROZAS DE MADRID,-3.8959879,40.54462978,31/12/2019,159,4,6202,Actividades de consultoría informática,Consultora informática.,"15,807,519",n.d.,"15,807,519","11,814,726","10,080,362","9,717,320","12,835,652","14,179,275","9,670,006","9,151,759","5,718,007","3,808,722","1,179,551",n.d.,"1,179,551","607,942","585,963","259,560","1,021,097","715,875","974,964","1,608,732","815,246","310,631",13.34,n.d.,13.34,9.66,10.12,6.05,18.74,12.74,22.85,37.72,33.97,21.66,24.89,n.d.,24.89,15.10,15.59,9.49,31.59,21.92,37.18,73.12,53.05,32.46,1.97,n.d.,1.97,2.41,2.41,2.24,2.30,2.25,2.42,1.95,2.70,2.85,46.40,n.d.,46.40,36.05,35.09,36.29,40.67,41.88,38.54,48.42,35.98,33.27,159,n.d.,159,130,109,106,104,85,78,69,50,48,50,n.d.,50,34,25,23,28,18,18,14,n.d.,n.d.,120,n.d.,120,96,94,83,89,67,60,55,n.d.,n.d.
297.,2C CASADO CONSULTING SL.,B85859502,MADRID,-3.69044902,40.46603896,31/12/2019,100,3,7022,Otras actividades de consultoría de gestión empresarial,Gestión del talento y consultoría de recursos humanos.,"15,805,264",n.d.,"15,805,264","11,299,202","7,420,010","6,279,276","5,780,372","3,205,282","2,362,335","1,024,202","1,287,138","375,086","1,870,821",n.d.,"1,870,821","1,124,198","924,613","525,132","544,814","345,381","269,123","145,030","237,766","37,252",37.11,n.d.,37.11,26.04,29.08,19.17,30.78,24.17,18.69,21.98,29.67,24.04,49.37,n.d.,49.37,38.85,43.43,38.22,63.14,51.83,58.63,58.70,106.90,115.67,3.72,n.d.,3.72,2.86,2.79,1.82,1.81,1.66,1.31,1.22,1.11,1.05,24.84,n.d.,24.84,32.99,33.04,49.84,51.25,53.38,68.12,62.56,72.25,79.22,137,n.d.,137,117,88,72,70,35,16,7,6,2,50,n.d.,50,n.d.,n.d.,24,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,87,n.d.,87,n.d.,n.d.,43,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
298.,STEFANINI SPAIN SL.,B83621375,MADRID,-3.65928978,40.45428122,31/12/2019,75,22,6202,Actividades de consultoría informática,"Prestación de servicios de consultoría, desarrollo de la integración de soluciones informáticas.","15,728,903",n.d.,"15,728,903","17,957,048","19,770,078","22,058,521","20,460,290","15,564,435","13,557,737","13,199,054","12,326,674","1,071,944","85,906",n.d.,"85,906","5,305","358,406","558,577","485,636","272,517","-5,211","4,205","37,219","-148,491",2.84,n.d.,2.84,3.73,8.15,11.13,6.71,6.31,-0.14,0.10,0.77,-11.48,27.06,n.d.,27.06,28.61,49.73,82.51,50.92,76.02,-6.06,4.61,41.21,-209.77,1.09,n.d.,1.09,1.10,1.14,1.13,1.12,1.08,1.00,1.00,0.96,0.91,89.49,n.d.,89.49,86.96,83.61,86.51,86.82,91.70,97.73,97.86,98.12,94.53,59,n.d.,59,57,74,65,47,30,22,10,5,4,15,n.d.,15,14,16,16,13,13,8,8,3,3,37,n.d.,37,41,50,54,46,23,18,11,2,1
299.,CENTRO REGIONAL DE SERVICIOS AVANZADOS SA,A09310475,BURGOS,-3.70011555,42.34151302,31/12/2019,183,3,6202,Actividades de consultoría informática,Consultoría de equipo informático y desarrollo .,"15,717,262",n.d.,"15,717,262","13,247,575","16,789,191","10,139,180","13,747,811","8,687,503","9,109,542","18,603,655","10,156,636","10,080,665","150,506",n.d.,"150,506","55,754","8,326","84,525","72,017","6,501","-278,790","88,882","82,000","72,394",2.59,n.d.,2.59,0.93,0.13,2.05,1.80,0.15,-8.64,2.21,0.47,1.85,17.70,n.d.,17.70,4.05,0.52,5.10,6.59,0.49,-22.51,5.92,5.20,5.46,1.10,n.d.,1.10,1.17,1.29,1.64,1.34,1.62,1.44,1.46,1.08,1.37,85.39,n.d.,85.39,76.96,75.58,59.87,72.68,68.29,61.63,62.66,90.89,66.13,212,n.d.,212,183,163,161,160,144,148,181,196,189,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
300.,STRATIO BIG DATA INC S.E.E.,W4007784D,POZUELO DE ALARCON,-3.78498493,40.44033732,31/12/2018,267,,6202,Actividades de consultoría informática,LA ACTIVIDAD COMERCIAL COMO SUCURSAL DE LA SOCIEDAD Y HACER TODAS LAS COSAS QUE SE CONSIDEREN CONDUCENTES AL LOGRO DE LOS OBJETIVOS DE LA SOCIEDAD,"15,666,428",n.d.,n.d.,"15,666,428","13,458,386","9,939,036","2,527,822",n.d.,n.d.,n.d.,n.d.,n.d.,"-1,351,335",n.d.,n.d.,"-1,351,335","25,506","1,016,125","32,689",n.d.,n.d.,n.d.,n.d.,n.d.,-9.97,n.d.,n.d.,-9.97,-4.35,1.67,-3.36,n.d.,n.d.,n.d.,n.d.,n.d.,-17.35,n.d.,n.d.,-17.35,-9.97,5.18,-8.47,n.d.,n.d.,n.d.,n.d.,n.d.,0.78,n.d.,n.d.,0.78,0.69,0.83,1.94,n.d.,n.d.,n.d.,n.d.,n.d.,42.52,n.d.,n.d.,42.52,56.35,67.81,60.33,n.d.,n.d.,n.d.,n.d.,n.d.,267,n.d.,n.d.,267,220,152,91,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,14,14,14,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,206,149,126,n.d.,n.d.,n.d.,n.d.,n.d.
301.,SERIKAT CONSULTORIA E INFORMATICA SOCIEDAD ANONIMA,A48476006,BILBAO,-2.93387056,43.26339585,31/12/2019,400,19,6202,Actividades de consultoría informática,Servicios de consultoría en diferentes áreas,"15,631,696",n.d.,"15,631,696","15,432,835","15,571,873","15,429,235","15,055,715","14,291,268","13,964,943","13,789,828","14,839,519","15,351,052","154,747",n.d.,"154,747","64,642","-459,616","-233,729","441,056","81,569","216,549","-155,452","-495,710","143,977",2.95,n.d.,2.95,1.21,-6.92,-3.60,7.29,1.56,4.10,-3.62,-9.47,-3.50,8.70,n.d.,8.70,4.65,-29.50,-13.00,26.64,6.43,17.10,-14.06,-39.84,-12.27,1.96,n.d.,1.96,1.66,1.58,1.69,2.15,1.99,1.73,1.59,1.35,1.35,66.09,n.d.,66.09,73.94,76.55,72.35,72.62,75.78,76.03,74.27,76.24,71.52,363,n.d.,363,358,382,375,334,312,314,324,323,334,161,n.d.,161,161,150,165,141,150,149,155,150,162,197,n.d.,197,197,193,227,188,167,151,153,168,185
302.,DESARROLLO INFORMATICO SA,A28500916,MADRID,-3.66995526,40.44924111,31/12/2018,200,2053,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Prestacion de servicios informáticos a empresas.,"15,554,000",n.d.,n.d.,"15,554,000","16,643,000","15,637,000","14,223,000","12,647,374","11,725,693","12,695,860","13,816,629","14,937,184","121,000",n.d.,n.d.,"121,000","210,000","430,000","666,000","762,502","707,512","631,737","743,795","709,908",0.81,n.d.,n.d.,0.81,1.27,2.59,6.26,8.60,9.84,10.99,12.18,16.50,1.68,n.d.,n.d.,1.68,2.69,5.54,12.70,14.76,16.02,18.78,26.04,32.44,2.07,n.d.,n.d.,2.07,2.15,2.01,2.32,1.45,1.84,2.37,1.87,2.03,51.74,n.d.,n.d.,51.74,52.89,53.27,50.70,41.72,38.57,41.46,53.23,49.13,181,n.d.,n.d.,181,195,220,238,228,220,224,206,199,36,n.d.,n.d.,36,42,56,57,52,52,49,51,46,147,n.d.,n.d.,147,153,170,181,176,174,175,178,157
303.,"TACTIO ESPAÑA, SLU",B64231244,MADRID,-3.69347602,40.43036725,31/12/2019,100,2,7022,Otras actividades de consultoría de gestión empresarial,Gestión de consultoría empresarial.,"15,478,606",n.d.,"15,478,606","14,701,899","12,598,391","10,094,931","6,795,152","4,837,682","4,278,392","3,588,679","3,220,993","2,082,995","2,034,575",n.d.,"2,034,575","1,993,752","2,002,780","1,693,033","428,370","153,416","134,364","81,137","85,293","-79,852",58.16,n.d.,58.16,68.72,57.85,61.12,27.82,11.67,11.46,6.72,6.36,-5.42,83.29,n.d.,83.29,89.87,83.32,82.50,56.00,20.83,21.62,15.58,25.24,-24.64,3.39,n.d.,3.39,3.84,3.01,3.73,1.84,2.41,3.99,3.65,2.41,1.60,30.18,n.d.,30.18,23.53,30.57,25.91,50.33,43.95,46.98,56.88,74.79,77.99,105,n.d.,105,102,70,57,49,44,38,32,26,19,22,n.d.,22,23,19,15,8,n.d.,7,n.d.,n.d.,n.d.,92,n.d.,92,85,66,50,41,n.d.,31,n.d.,n.d.,n.d.
304.,AVALON TECNOLOGIAS DE LA INFORMACION SL,B84043470,MADRID,-3.69081981,40.41992367,31/12/2019,450,3,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Gestión de consultoría informática.,"15,462,501",n.d.,"15,462,501","14,097,064","11,851,199","11,186,517",n.d.,n.d.,n.d.,n.d.,"11,439,270","10,440,848","80,875",n.d.,"80,875","35,912","42,378","36,801",n.d.,n.d.,n.d.,n.d.,"32,950","174,320",1.43,n.d.,1.43,0.69,0.68,0.20,n.d.,n.d.,n.d.,n.d.,0.45,2.64,12.90,n.d.,12.90,4.67,4.54,1.59,n.d.,n.d.,n.d.,n.d.,3.84,18.49,1.01,n.d.,1.01,1.02,1.02,1.01,n.d.,n.d.,n.d.,n.d.,0.97,1.15,88.91,n.d.,88.91,85.12,85.02,87.09,n.d.,n.d.,n.d.,n.d.,88.27,85.75,281,n.d.,281,238,215,174,n.d.,n.d.,n.d.,n.d.,212,218,n.d.,n.d.,n.d.,80,77,56,n.d.,n.d.,n.d.,n.d.,63,n.d.,n.d.,n.d.,n.d.,158,135,118,n.d.,n.d.,n.d.,n.d.,149,n.d.
305.,INFORMATICA DE EUSKADI SOCIEDAD LIMITADA,B48907307,DERIO,-2.887336,43.292698,31/08/2018,325,683,6202,Actividades de consultoría informática,Consultoría informática.,"15,415,478",n.d.,n.d.,"15,415,478","23,671,546","23,320,789","22,682,416","21,328,812","25,956,863","29,067,295","29,396,212","21,978,013","1,392,183",n.d.,n.d.,"1,392,183","3,376,357","3,271,622","2,394,260","1,237,845","3,735,513","3,767,613","4,203,237","4,794,722",12.60,n.d.,n.d.,12.60,26.42,26.00,43.63,25.72,49.44,29.69,36.82,65.53,124.38,n.d.,n.d.,124.38,76.59,75.55,65.60,38.21,80.24,73.52,81.68,100.63,2.76,n.d.,n.d.,2.76,5.25,1.52,2.99,2.83,2.58,1.66,1.81,2.72,89.87,n.d.,n.d.,89.87,65.51,65.59,33.50,32.69,38.38,59.62,54.92,34.88,319,n.d.,n.d.,319,324,321,313,302,368,414,401,376,152,n.d.,n.d.,152,156,159,149,149,n.d.,n.d.,n.d.,n.d.,168,n.d.,n.d.,168,179,176,183,171,n.d.,n.d.,n.d.,n.d.
306.,PROSODIE IBERICA SLU,B83071290,MADRID,-3.674386,40.495756,31/12/2019,221,400,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Servicios de telecomunicaciones.,"15,310,344",n.d.,"15,310,344","15,509,828","13,781,196","12,042,140","9,867,958","10,441,758","11,510,018","13,047,442","12,658,014","12,767,440","1,307,000",n.d.,"1,307,000","1,112,983","1,737,815","953,451","767,453","1,067,158","1,010,371","902,470","608,374","812,288",22.02,n.d.,22.02,16.00,14.20,12.30,10.65,14.82,12.41,10.85,8.27,13.22,28.19,n.d.,28.19,21.44,19.05,15.84,13.16,18.84,21.98,25.16,22.67,39.13,4.13,n.d.,4.13,3.41,3.31,3.81,4.62,4.28,3.42,2.76,2.40,2.15,21.87,n.d.,21.87,25.36,25.47,22.38,19.06,21.36,43.52,56.90,63.49,66.21,221,n.d.,221,237,191,165,144,148,158,166,171,168,47,n.d.,47,51,43,29,29,27,25,28,30,32,159,n.d.,159,191,173,142,131,122,121,142,141,136
307.,LABELIUM SPAIN SL,B84900141,MADRID,-3.68437587,40.42919896,31/12/2019,25,4,6202,Actividades de consultoría informática,Servicios de Agencia de marketing on line,"15,191,745",n.d.,"15,191,745","14,891,265","9,112,564","6,991,221","3,129,371","2,013,347","1,786,988","1,402,593","1,074,849","484,608","700,065",n.d.,"700,065","726,781","756,232","615,678","688,727","359,171","474,090","345,061","523,557","208,863",19.87,n.d.,19.87,14.94,21.18,25.59,36.60,29.95,50.50,41.62,87.19,70.31,49.86,n.d.,49.86,59.25,50.62,53.79,58.05,39.53,74.40,66.40,128.63,89.43,1.64,n.d.,1.64,1.32,1.71,1.90,2.57,3.78,2.99,2.64,3.05,4.56,60.15,n.d.,60.15,74.78,58.15,52.42,36.96,24.25,32.13,37.32,32.22,21.38,20,n.d.,20,16,13,10,9,9,8,12,7,3,n.d.,n.d.,n.d.,n.d.,9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
308.,"CTI TECNOLOGIA Y GESTION, S.A. (S.M.E.)",A28065480,ALCOBENDAS,-3.65045101,40.53451528,31/12/2019,252,453,6202,Actividades de consultoría informática,"Su objeto social y actividad principal es la externalización de procesos de negocio BPO (Business Project Outsourcing) y las Soluciones Tecnológicas, con alta especialización en el tratamiento de la información, los Sistemas de Pagos y la Gestión del Crédito Comercial.","15,149,876",n.d.,"15,149,876","14,621,116","15,281,780","14,587,243","14,504,981","12,515,018","12,859,591","14,528,946","14,262,952","14,556,384","94,995",n.d.,"94,995","62,022","185,169","534,342","408,452","328,747","183,058","-448,605","-392,276","-134,159",2.47,n.d.,2.47,1.57,4.24,3.29,8.11,6.11,5.66,-13.08,-8.96,-3.20,4.06,n.d.,4.06,2.56,6.88,5.18,12.84,10.71,11.88,-33.05,-21.72,-6.10,1.96,n.d.,1.96,2.18,2.19,1.50,1.70,1.37,1.51,1.16,1.20,1.50,39.21,n.d.,39.21,38.51,38.35,36.41,36.84,42.94,52.35,60.43,58.73,47.52,252,n.d.,252,231,228,238,245,187,187,235,253,223,168,n.d.,168,142,135,137,150,107,107,138,150,122,111,n.d.,111,110,102,102,95,80,80,97,103,101
309.,WEBFLEET SOLUTIONS SPAIN S.L.,B62284203,BARCELONA,2.18923,41.400042,31/12/2018,172,368,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"FOMENTO, GESTION, DESARROLLO, PROMOCION Y/ O COMERCIALIZACION DE SERVICIOS DIRIGIDOS A LAS EMPRESAS A TRAVES DE ""INTERNET"" Y OTRAS NUEVAS TECNOLOGIAS. INVESTIGACION, ELABORACION DE PROYECTOS DE INGENIERIA, ETC.","15,147,589",n.d.,n.d.,"15,147,589","13,649,645","11,170,601",n.d.,"7,236,280","4,881,759","4,710,229","4,464,411","3,351,109","580,688",n.d.,n.d.,"580,688","570,291","376,857",n.d.,"-198,959","277,395","834,866","15,290","368,374",12.64,n.d.,n.d.,12.64,6.10,6.18,n.d.,-2.44,5.53,4.97,0.49,13.86,18.60,n.d.,n.d.,18.60,19.12,16.89,n.d.,-7.48,10.34,9.47,1.17,28.10,2.43,n.d.,n.d.,2.43,2.50,5.01,n.d.,2.17,2.77,1.40,2.35,4.93,32.07,n.d.,n.d.,32.07,68.11,63.44,n.d.,67.36,46.52,47.58,57.99,50.67,172,n.d.,n.d.,172,134,118,n.d.,63,56,54,53,39,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,29,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,37,n.d.,n.d.
310.,CARTESON SL,B15155716,A CORUÑA,-8.413224,43.327906,31/12/2019,5,24,7022,Otras actividades de consultoría de gestión empresarial,Servicios varios relacionados con la gestión empresarial.,"15,015,971",n.d.,"15,015,971","15,579,140","15,695,904","14,912,524","13,861,318","11,575,069","6,559,032","6,255,231","1,198,453","1,206,115","2,020,294",n.d.,"2,020,294","-13,121,899","-16,239,914","5,523,913","5,971,097","6,208,605","106,387,463","68,073,373","12,277,982","12,901,441",1.08,n.d.,1.08,-2.93,-2.98,1.45,0.64,1.03,28.91,18.57,3.82,5.42,1.48,n.d.,1.48,-4.19,-4.13,1.94,0.85,1.28,32.25,21.38,4.70,5.42,0.17,n.d.,0.17,0.19,0.54,0.16,0.35,2.09,9.83,19.06,1.34,0.65,26.59,n.d.,26.59,29.88,27.86,25.33,24.62,19.23,10.35,13.15,18.72,0.10,8,n.d.,8,7,7,6,6,5,5,5,5,5,n.d.,n.d.,n.d.,2,3,2,1,n.d.,1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5,5,4,4,n.d.,4,n.d.,n.d.,n.d.
311.,INNOVACION TECNOLOGICA Y SOLUCIONES DE NEGOCIO SL,B84006246,MADRID,-3.694472,40.44819813,31/12/2019,280,2,6202,Actividades de consultoría informática,Consultoría informática para empresas.,"14,801,461",n.d.,"14,801,461","13,102,542","11,730,357","9,414,036","5,866,139","4,518,160","3,600,635","3,120,264","2,954,838","2,274,974","611,017",n.d.,"611,017","442,214","549,706","789,614","267,899","218,722","132,060","90,284","28,212","23,145",8.58,n.d.,8.58,7.90,11.63,27.08,15.99,15.10,9.55,7.77,4.32,1.98,23.89,n.d.,23.89,19.42,27.31,53.13,31.80,33.32,27.59,29.42,18.47,7.83,1.29,n.d.,1.29,1.52,1.53,1.76,1.82,1.67,1.22,1.08,1.09,1.07,64.08,n.d.,64.08,59.35,57.43,49.03,49.70,54.68,65.40,73.59,76.62,74.77,234,n.d.,234,210,186,143,101,73,63,56,56,45,85,n.d.,85,n.d.,n.d.,n.d.,n.d.,29,31,n.d.,n.d.,n.d.,171,n.d.,171,n.d.,n.d.,n.d.,n.d.,58,42,n.d.,n.d.,n.d.
312.,FACTORIA DE TRANSFORMACION DE OPERACIONES Y SERVICIOS SL.,B45847837,TOLEDO,-4.02676944,39.86583527,31/12/2019,280,46,7022,Otras actividades de consultoría de gestión empresarial,"Servicios de consultoría, asesoramiento, formación, planificación, de organización de empresas y contabilidad, administrativos, organizativos, operacionales, Informáticos y de intermediación en la gestión de cobro. Tenencia y administración de participaciones o acciones en sociedades. CNAE 7022","14,776,314",n.d.,"14,776,314","14,167,128","9,856,084","6,229,577",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,"1,333,331",n.d.,"1,333,331","1,502,677","1,134,859","206,532",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,26.40,n.d.,26.40,36.75,34.89,9.82,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,36.90,n.d.,36.90,56.24,70.30,22.42,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.36,n.d.,3.36,2.72,1.79,2.46,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,28.45,n.d.,28.45,34.66,50.36,56.21,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,280,n.d.,280,262,248,157,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,210,n.d.,210,168,n.d.,138,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,89,n.d.,89,90,n.d.,92,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
313.,ASHFIELD IBERIA SL.,B61641387,MADRID,-3.667067,40.496718,30/09/2019,358,124,7022,Otras actividades de consultoría de gestión empresarial,"La prestación de servicios de asesoramiento financiero, de materias relacionadas con el sector farmacéutico, marketing. intermediación, formación promocional, planificación estratégica empresarial, estudio y apertura de mercado y promoción de productos para terceros en el ámbito del sector ...","14,748,854",n.d.,"14,748,854","19,039,128","26,935,977","29,970,232","25,085,666",n.d.,n.d.,"16,188,846","15,157,371","15,875,039","-2,415,060",n.d.,"-2,415,060","-1,762,080","-784,693","-637,360","252,870",n.d.,n.d.,"605,584","133,270","836,131",-19.68,n.d.,-19.68,-13.28,-5.18,-1.16,0.68,n.d.,n.d.,11.59,5.92,28.43,-31.04,n.d.,-31.04,-80.25,-45.95,-18.16,8.46,n.d.,n.d.,32.05,14.07,66.17,0.89,n.d.,0.89,1.35,0.35,0.81,0.92,n.d.,n.d.,1.49,1.61,1.66,36.58,n.d.,36.58,83.46,88.72,93.61,91.97,n.d.,n.d.,63.84,57.90,57.04,358,n.d.,358,358,488,180,181,n.d.,n.d.,247,252,251,n.d.,n.d.,n.d.,n.d.,n.d.,172,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,78,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
314.,CAETANO RETAIL ESPAÑA SA.,A81250458,ALCOBENDAS,-3.66369223,40.52109021,31/12/2018,78,94,7022,Otras actividades de consultoría de gestión empresarial,Servicios centrales. Empresa holding del grupo,"14,673,713",n.d.,n.d.,"14,673,713","11,145,474","10,206,928","10,257,023","6,731,643","5,826,054","5,792,330","3,976,175","1,746,084","259,407",n.d.,n.d.,"259,407","-7,034,705","-7,318,497","-6,032,904","-1,321,657","-7,268,618","-22,224,035","-4,346,152","-142,131",0.13,n.d.,n.d.,0.13,-6.11,-7.04,-5.60,-0.58,-3.49,-16.42,0.07,-0.14,0.33,n.d.,n.d.,0.33,-16.15,-15.88,-12.60,-0.77,-4.43,-26.85,0.10,-0.16,0.25,n.d.,n.d.,0.25,0.36,0.89,0.59,2.08,3.03,0.59,1.02,2.43,61.44,n.d.,n.d.,61.44,62.14,55.67,55.60,25.16,21.11,38.85,30.40,15.19,76,n.d.,n.d.,76,81,74,78,50,12,10,n.d.,n.d.,32,n.d.,n.d.,32,31,33,33,32,6,3,n.d.,n.d.,47,n.d.,n.d.,47,47,46,42,36,17,7,n.d.,n.d.
